n,tau,k_intensity,k_rate,tau_grid,ki_tau_prod_grid,kr_tau_prod_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,0.01,15.811,28.117,0.01,15.811,28.117,3.0066271923369268,0.36731447655141986,15.67343187474145,0.2600095558558441,1.8975149593913851,7.8810906079327685,29,29
1,0.01,15.811,39.763,0.01,15.811,39.763,2.925625671564405,0.3496670364245417,14.72953084725582,0.2854482778662408,2.0749630973643294,8.632325634440008,29,29
2,0.01,15.811,56.234,0.01,15.811,56.234,2.900060442091096,0.33967032439246286,13.989593685224873,0.4042962832558621,2.263160059050904,9.444498690597525,29,29
3,0.01,22.361,28.117,0.01,22.361,28.117,1.8367054541117145,0.28201111073610957,11.642095184803358,0.3061508877908575,1.5059112077599741,5.766826998117352,29,29
4,0.01,22.361,39.763,0.01,22.361,39.763,1.6469460920857304,0.25462056917142295,10.528998388040762,0.2556478930240201,1.4453903944427888,5.4700303129699215,29,29
5,0.01,22.361,56.234,0.01,22.361,56.234,1.535268404190223,0.2307542828266374,9.621216340343937,0.3132192589932484,1.5362328200503295,5.8398460545156485,29,29
6,0.01,31.623,28.117,0.01,31.623,28.117,2.3626982249120454,0.3904029342777921,8.277966334784951,0.38284324542880116,2.4392809317794475,10.056976999360511,29,29
7,0.01,31.623,39.763,0.01,31.623,39.763,2.1609086095921386,0.3584900034093431,7.2030523302822775,0.29085335321824096,1.9262970417371827,7.8573164985700625,29,29
8,0.01,31.623,56.234,0.01,31.623,56.234,1.8558496308931824,0.32132614717508995,6.100426300855203,0.2709932019627404,1.5219849810133204,5.994123823185491,29,29
9,0.018,878.3888888888889,1562.0555555555557,0.018,15.811,28.117,3.0397055130878217,0.37148879216815023,15.733629362377279,0.27223476430956206,1.9115083210986779,7.938191166124275,29,29
10,0.018,878.3888888888889,2209.0555555555557,0.018,15.811,39.763,2.925151393421229,0.35246184057940644,14.757286764103506,0.2981782068509099,2.076599524463302,8.618108217199918,29,29
11,0.018,878.3888888888889,3124.1111111111113,0.018,15.811,56.234,2.8635759020205174,0.3426377710341002,14.045271724356656,0.4171566463273412,2.263118577375779,9.415865061161432,29,29
12,0.018,1242.2777777777778,1562.0555555555557,0.018,22.361,28.117,1.8476951440590985,0.28035948392876336,11.733476806441343,0.31917773991158127,1.5144016175042196,5.770954778562777,29,29
13,0.018,1242.2777777777778,2209.0555555555557,0.018,22.361,39.763,1.6630733727844211,0.2541439663511527,10.655029348798925,0.27361223350830755,1.4894011406789405,5.606407709196075,29,29
14,0.018,1242.2777777777778,3124.1111111111113,0.018,22.361,56.234,1.5302637985502126,0.22978606787240163,9.771325304814606,0.32576818045079464,1.5472437976808049,5.849767997842274,29,29
15,0.018,1756.8333333333335,1562.0555555555557,0.018,31.623,28.117,2.307460993663589,0.37899218224122067,8.30205458410102,0.3961617553908954,2.4710295721067927,10.132956594757147,29,29
16,0.018,1756.8333333333335,2209.0555555555557,0.018,31.623,39.763,2.0713652438780334,0.3467476820563135,7.2271495708877875,0.3034942577764881,1.9538942534553465,7.9246168993474555,29,29
17,0.018,1756.8333333333335,3124.1111111111113,0.018,31.623,56.234,1.832869035153473,0.3135280939155233,6.226184322188126,0.278608407584936,1.547354926042326,6.060311970023283,29,29
18,0.032,494.09375,878.65625,0.032,15.811,28.117,3.1131858838779802,0.3805328255605388,15.901417745330015,0.29253290535254967,1.946338529697985,8.058538121690216,29,29
19,0.032,494.09375,1242.59375,0.032,15.811,39.763,2.965294793157291,0.36098782739110513,14.957007818182928,0.3186304035145442,2.104404867746746,8.719844629249119,29,29
20,0.032,494.09375,1757.3125,0.032,15.811,56.234,2.8150482478436403,0.3473779485007145,14.156752587055898,0.44362673108696554,2.268451686014984,9.381389397225481,29,29
21,0.032,698.78125,878.65625,0.032,22.361,28.117,1.8839030147988176,0.2786135535181278,11.928804893170106,0.33944307459656203,1.564069276765729,5.911894830899566,29,29
22,0.032,698.78125,1242.59375,0.032,22.361,39.763,1.6922580838848247,0.2536052688833804,10.921894531548553,0.28978321338726054,1.4932324478960037,5.604179890377057,29,29
23,0.032,698.78125,1757.3125,0.032,22.361,56.234,1.5468379125192626,0.23022070934054847,9.940723018388265,0.3468098055806177,1.5752911111411414,5.9242139032505765,29,29
24,0.032,988.21875,878.65625,0.032,31.623,28.117,2.1457791487122484,0.3596100041117965,8.474183355238498,0.42042628040037244,2.5013874698626206,10.1789925185697,29,29
25,0.032,988.21875,1242.59375,0.032,31.623,39.763,1.9286697830562154,0.3286253194948101,7.395869244452816,0.32529808218682915,1.957915380848346,7.852880190197575,29,29
26,0.032,988.21875,1757.3125,0.032,31.623,56.234,1.7322574918488909,0.29317907075345134,6.3633467798421925,0.3016078082519557,1.581868908318783,6.114971988519614,29,29
27,0.056,282.3392857142857,502.0892857142857,0.056,15.811,28.117,3.2814916937545315,0.4002834159741291,16.361242170634732,0.330264231929289,2.0104909775324304,8.347299610277439,29,29
28,0.056,282.3392857142857,710.0535714285713,0.056,15.811,39.763,3.067457631466793,0.3792274210624117,15.36254526836035,0.35190508400139064,2.163418187006401,8.953685726867644,29,29
29,0.056,282.3392857142857,1004.1785714285714,0.056,15.811,56.234,2.8173455317120193,0.3613623304435849,14.486385217120352,0.48357034392765447,2.295629702924424,9.442567563910957,29,29
30,0.056,399.30357142857144,502.0892857142857,0.056,22.361,28.117,2.012231359824621,0.2833446821941428,12.440821950272857,0.3743321287721632,1.6092931206167203,6.067215922195029,29,29
31,0.056,399.30357142857144,710.0535714285713,0.056,22.361,39.763,1.8021810075892772,0.2588267339407495,11.41721123210829,0.3304993932720945,1.5738255941061727,5.893994483053527,29,29
32,0.056,399.30357142857144,1004.1785714285714,0.056,22.361,56.234,1.6364214762161238,0.23662290847676917,10.508037231639463,0.37606456392172377,1.6402761061473985,6.159638620706802,29,29
33,0.056,564.6964285714286,502.0892857142857,0.056,31.623,28.117,1.8871896318710804,0.32561643573412713,8.646897491962594,0.4608546305092191,2.545672739754627,10.182065359525645,29,29
34,0.056,564.6964285714286,710.0535714285713,0.056,31.623,39.763,1.694394845495023,0.2963360952310141,7.690390149757983,0.36649222862296976,1.9967471754920734,7.851079097010252,29,29
35,0.056,564.6964285714286,1004.1785714285714,0.056,31.623,56.234,1.571840830873076,0.2625342025214301,6.6988217520539495,0.3300702223607542,1.6337829586923929,6.21086497103348,29,29
36,0.1,158.10999999999999,281.17,0.1,15.811,28.117,3.487984683927923,0.4332016635102967,16.88600856212137,0.37942026131847756,2.1153125381505102,8.798383882450752,29,29
37,0.1,158.10999999999999,397.62999999999994,0.1,15.811,39.763,3.2156939382985397,0.4109782711871312,15.895268676116732,0.4258548927316745,2.26919482236282,9.385024361158058,29,29
38,0.1,158.10999999999999,562.34,0.1,15.811,56.234,2.9422731033578415,0.38924907953931476,14.978701177722538,0.5400419271164061,2.3734991663632923,9.764292572256663,29,29
39,0.1,223.60999999999999,281.17,0.1,22.361,28.117,2.278775544504303,0.3035878020967991,13.360751884473789,0.429809987952533,1.6505720983807621,6.2308538116990135,29,29
40,0.1,223.60999999999999,397.62999999999994,0.1,22.361,39.763,2.0335302343796764,0.27959291734242503,12.251618672048325,0.37962154941976445,1.69346401129159,6.4212139939793005,29,29
41,0.1,223.60999999999999,562.34,0.1,22.361,56.234,1.8018356258189183,0.2599023719486579,11.348607185602154,0.42601949917323106,1.7621729648650717,6.684964457052946,29,29
42,0.1,316.23,281.17,0.1,31.623,28.117,1.558606907301273,0.27313187268967093,9.424161332016773,0.5214725744996105,2.4552628333489017,9.572640626025185,29,29
43,0.1,316.23,397.62999999999994,0.1,31.623,39.763,1.4027317748575594,0.24146738061353484,8.406973279306104,0.4234064120336549,1.982663895840797,7.59700811835684,29,29
44,0.1,316.23,562.34,0.1,31.623,56.234,1.406155658720851,0.21990024239610556,7.598643349546098,0.382157068671296,1.7070189768392288,6.421920736058124,29,29
